timestamp,symbol,timeframe,open,high,low,close,volume
2025-09-27 11:56:00,NIFTY,1m,17994.27794829195,17994.27794829195,17994.27794829195,17994.27794829195,635
2025-09-27 11:57:00,NIFTY,1m,18007.82316325839,18007.82316325839,18007.82316325839,18007.82316325839,498
2025-09-27 11:58:00,NIFTY,1m,18014.470478594427,18014.470478594427,18014.470478594427,18014.470478594427,413
2025-09-27 11:59:00,NIFTY,1m,18020.940210443994,18020.940210443994,18020.940210443994,18020.940210443994,899
2025-09-27 12:00:00,NIFTY,1m,18028.547256233443,18028.547256233443,18028.547256233443,18028.547256233443,830
2025-09-27 12:01:00,NIFTY,1m,18043.039242303166,18043.039242303166,18043.039242303166,18043.039242303166,407
2025-09-27 12:02:00,NIFTY,1m,18030.88151460933,18030.88151460933,18030.88151460933,18030.88151460933,266
2025-09-27 12:03:00,NIFTY,1m,18046.33220853784,18046.33220853784,18046.33220853784,18046.33220853784,944
2025-09-27 12:04:00,NIFTY,1m,18048.410478234215,18048.410478234215,18048.410478234215,18048.410478234215,859
2025-09-27 12:05:00,NIFTY,1m,18044.50350430125,18044.50350430125,18044.50350430125,18044.50350430125,200
2025-09-27 12:06:00,NIFTY,1m,18061.741921457073,18061.741921457073,18061.741921457073,18061.741921457073,164
2025-09-27 12:07:00,NIFTY,1m,18054.376355156615,18054.376355156615,18054.376355156615,18054.376355156615,286
2025-09-27 12:08:00,NIFTY,1m,18044.62656033089,18044.62656033089,18044.62656033089,18044.62656033089,799
2025-09-27 12:09:00,NIFTY,1m,18030.50287969552,18030.50287969552,18030.50287969552,18030.50287969552,647
2025-09-27 12:10:00,NIFTY,1m,18043.769212107323,18043.769212107323,18043.769212107323,18043.769212107323,138
2025-09-27 12:11:00,NIFTY,1m,18043.37941556892,18043.37941556892,18043.37941556892,18043.37941556892,466
2025-09-27 12:12:00,NIFTY,1m,18033.14640848771,18033.14640848771,18033.14640848771,18033.14640848771,198
2025-09-27 12:13:00,NIFTY,1m,18046.493560096147,18046.493560096147,18046.493560096147,18046.493560096147,554
2025-09-27 12:14:00,NIFTY,1m,18039.79075292981,18039.79075292981,18039.79075292981,18039.79075292981,968
2025-09-27 12:15:00,NIFTY,1m,18055.542840472874,18055.542840472874,18055.542840472874,18055.542840472874,564
2025-09-27 12:16:00,NIFTY,1m,18060.621296058645,18060.621296058645,18060.621296058645,18060.621296058645,318
2025-09-27 12:17:00,NIFTY,1m,18051.248837151867,18051.248837151867,18051.248837151867,18051.248837151867,254
2025-09-27 12:18:00,NIFTY,1m,18052.14411489853,18052.14411489853,18052.14411489853,18052.14411489853,972
2025-09-27 12:19:00,NIFTY,1m,18052.979914667587,18052.979914667587,18052.979914667587,18052.979914667587,172
2025-09-27 12:20:00,NIFTY,1m,18057.06725368073,18057.06725368073,18057.06725368073,18057.06725368073,834
2025-09-27 12:21:00,NIFTY,1m,18069.80438550231,18069.80438550231,18069.80438550231,18069.80438550231,69
2025-09-27 12:22:00,NIFTY,1m,18051.766997510364,18051.766997510364,18051.766997510364,18051.766997510364,854
2025-09-27 12:23:00,NIFTY,1m,18055.356298572366,18055.356298572366,18055.356298572366,18055.356298572366,960
2025-09-27 12:24:00,NIFTY,1m,18062.958463261166,18062.958463261166,18062.958463261166,18062.958463261166,777
2025-09-27 12:25:00,NIFTY,1m,18061.553549530403,18061.553549530403,18061.553549530403,18061.553549530403,687
2025-09-27 12:26:00,NIFTY,1m,18066.364666827507,18066.364666827507,18066.364666827507,18066.364666827507,293
2025-09-27 12:27:00,NIFTY,1m,18053.229228309796,18053.229228309796,18053.229228309796,18053.229228309796,580
2025-09-27 12:28:00,NIFTY,1m,18051.10425568327,18051.10425568327,18051.10425568327,18051.10425568327,625
2025-09-27 12:29:00,NIFTY,1m,18065.797015411434,18065.797015411434,18065.797015411434,18065.797015411434,322
2025-09-27 12:30:00,NIFTY,1m,18076.695931201666,18076.695931201666,18076.695931201666,18076.695931201666,227
2025-09-27 12:31:00,NIFTY,1m,18090.063118680664,18090.063118680664,18090.063118680664,18090.063118680664,895
2025-09-27 12:32:00,NIFTY,1m,18102.253838568697,18102.253838568697,18102.253838568697,18102.253838568697,225
