timestamp,symbol,timeframe,open,high,low,close,volume
2025-09-27 11:56:00,BANKNIFTY,1m,45002.90674594787,45002.90674594787,45002.90674594787,45002.90674594787,730
2025-09-27 11:57:00,BANKNIFTY,1m,44981.77283617868,44981.77283617868,44981.77283617868,44981.77283617868,306
2025-09-27 11:58:00,BANKNIFTY,1m,44985.36341356506,44985.36341356506,44985.36341356506,44985.36341356506,709
2025-09-27 11:59:00,BANKNIFTY,1m,45019.982227533124,45019.982227533124,45019.982227533124,45019.982227533124,376
2025-09-27 12:00:00,BANKNIFTY,1m,45058.110252457074,45058.110252457074,45058.110252457074,45058.110252457074,342
2025-09-27 12:01:00,BANKNIFTY,1m,45062.01123954547,45062.01123954547,45062.01123954547,45062.01123954547,276
2025-09-27 12:02:00,BANKNIFTY,1m,45040.04476561875,45040.04476561875,45040.04476561875,45040.04476561875,171
2025-09-27 12:03:00,BANKNIFTY,1m,45062.25891202808,45062.25891202808,45062.25891202808,45062.25891202808,76
2025-09-27 12:04:00,BANKNIFTY,1m,45107.14530227421,45107.14530227421,45107.14530227421,45107.14530227421,522
2025-09-27 12:05:00,BANKNIFTY,1m,45068.24479826928,45068.24479826928,45068.24479826928,45068.24479826928,332
2025-09-27 12:06:00,BANKNIFTY,1m,45103.673515648225,45103.673515648225,45103.673515648225,45103.673515648225,888
2025-09-27 12:07:00,BANKNIFTY,1m,45112.287520946855,45112.287520946855,45112.287520946855,45112.287520946855,560
2025-09-27 12:08:00,BANKNIFTY,1m,45130.280637466465,45130.280637466465,45130.280637466465,45130.280637466465,160
2025-09-27 12:09:00,BANKNIFTY,1m,45150.78076273559,45150.78076273559,45150.78076273559,45150.78076273559,423
2025-09-27 12:10:00,BANKNIFTY,1m,45188.766936848006,45188.766936848006,45188.766936848006,45188.766936848006,902
2025-09-27 12:11:00,BANKNIFTY,1m,45181.8962094506,45181.8962094506,45181.8962094506,45181.8962094506,741
2025-09-27 12:12:00,BANKNIFTY,1m,45192.211728514354,45192.211728514354,45192.211728514354,45192.211728514354,727
2025-09-27 12:13:00,BANKNIFTY,1m,45204.673817746785,45204.673817746785,45204.673817746785,45204.673817746785,625
2025-09-27 12:14:00,BANKNIFTY,1m,45173.689070550245,45173.689070550245,45173.689070550245,45173.689070550245,660
2025-09-27 12:15:00,BANKNIFTY,1m,45160.82145915062,45160.82145915062,45160.82145915062,45160.82145915062,669
2025-09-27 12:16:00,BANKNIFTY,1m,45126.6329652536,45126.6329652536,45126.6329652536,45126.6329652536,543
2025-09-27 12:17:00,BANKNIFTY,1m,45087.40910512182,45087.40910512182,45087.40910512182,45087.40910512182,721
2025-09-27 12:18:00,BANKNIFTY,1m,45073.08750856409,45073.08750856409,45073.08750856409,45073.08750856409,301
2025-09-27 12:19:00,BANKNIFTY,1m,45048.59678456731,45048.59678456731,45048.59678456731,45048.59678456731,839
2025-09-27 12:20:00,BANKNIFTY,1m,45035.01350503176,45035.01350503176,45035.01350503176,45035.01350503176,81
2025-09-27 12:21:00,BANKNIFTY,1m,45002.44994376552,45002.44994376552,45002.44994376552,45002.44994376552,967
2025-09-27 12:22:00,BANKNIFTY,1m,44976.620320577094,44976.620320577094,44976.620320577094,44976.620320577094,763
2025-09-27 12:23:00,BANKNIFTY,1m,44952.74854587167,44952.74854587167,44952.74854587167,44952.74854587167,362
2025-09-27 12:24:00,BANKNIFTY,1m,44971.49191371459,44971.49191371459,44971.49191371459,44971.49191371459,494
2025-09-27 12:25:00,BANKNIFTY,1m,45008.25673282182,45008.25673282182,45008.25673282182,45008.25673282182,628
2025-09-27 12:26:00,BANKNIFTY,1m,44975.50807689437,44975.50807689437,44975.50807689437,44975.50807689437,421
2025-09-27 12:27:00,BANKNIFTY,1m,44962.995246398204,44962.995246398204,44962.995246398204,44962.995246398204,195
2025-09-27 12:28:00,BANKNIFTY,1m,44947.155890283924,44947.155890283924,44947.155890283924,44947.155890283924,143
2025-09-27 12:29:00,BANKNIFTY,1m,44979.11644665365,44979.11644665365,44979.11644665365,44979.11644665365,250
2025-09-27 12:30:00,BANKNIFTY,1m,44977.47070834674,44977.47070834674,44977.47070834674,44977.47070834674,335
2025-09-27 12:31:00,BANKNIFTY,1m,45017.443033538206,45017.443033538206,45017.443033538206,45017.443033538206,202
